All 2131 irreps of the N=5, p=3 Fock space (2^75 states)
maximal weight (12, 6, 0, -6, -12), C2max = 240

    #                 lambda              partition     C2      dim
  206    (9, 8, -1, -5, -11)     (20, 19, 10, 6, 0)    199 47,124,000
  207     (11, 5, 1, -8, -9)     (20, 14, 10, 1, 0)    199 47,124,000
  208     (7, 7, 4, -6, -12)     (19, 19, 16, 6, 0)    198 11,688,600
  209     (8, 5, 5, -6, -12)     (20, 17, 17, 6, 0)    198 11,757,200
  210     (8, 7, 3, -7, -11)     (19, 18, 14, 4, 0)    198 29,752,800
  211      (8, 8, 2, -9, -9)     (17, 17, 11, 0, 0)    198 4,841,200
  212     (9, 5, 4, -7, -11)     (20, 16, 15, 4, 0)    198 30,071,300
  213     (9, 6, 2, -5, -12)     (21, 18, 14, 7, 0)    198 74,256,000
  214     (9, 7, 0, -4, -12)     (21, 19, 12, 8, 0)    198 66,066,000
  215    (9, 9, -4, -4, -10)      (19, 19, 6, 6, 0)    198 4,958,800
  216     (9, 9, -2, -8, -8)      (17, 17, 6, 0, 0)    198 4,841,200
  217     (10, 4, 4, -9, -9)     (19, 13, 13, 0, 0)    198 4,958,800
  218   (10, 6, -1, -3, -12)     (22, 18, 11, 9, 0)    198 67,667,600
  219   (10, 7, -2, -4, -11)      (21, 18, 9, 7, 0)    198 59,559,500
  220    (11, 4, 0, -3, -12)     (23, 16, 12, 9, 0)    198 79,361,100
  221    (11, 4, 2, -7, -10)     (21, 14, 12, 3, 0)    198 59,559,500
  222    (11, 7, -4, -5, -9)      (20, 16, 5, 4, 0)    198 30,071,300
  223    (11, 7, -3, -7, -8)      (19, 15, 5, 1, 0)    198 29,752,800
  224    (12, 1, 1, -2, -12)    (24, 13, 13, 10, 0)    198 13,613,600
  225   (12, 2, -1, -1, -12)    (24, 14, 11, 11, 0)    198 13,613,600
  226    (12, 3, 0, -4, -11)     (23, 14, 11, 7, 0)    198 79,361,100
  227    (12, 3, 1, -6, -10)     (22, 13, 11, 4, 0)    198 67,667,600
  228     (12, 4, 0, -7, -9)      (21, 13, 9, 2, 0)    198 66,066,000
  229    (12, 5, -2, -6, -9)      (21, 14, 7, 3, 0)    198 74,256,000
  230    (12, 6, -5, -5, -8)      (20, 14, 3, 3, 0)    198 11,757,200
  231    (12, 6, -4, -7, -7)      (19, 13, 3, 0, 0)    198 11,688,600
  232     (9, 6, 3, -8, -10)     (19, 16, 13, 2, 0)    197 33,561,600
  233     (9, 7, 1, -6, -11)     (20, 18, 12, 5, 0)    197 66,679,200
  234      (9, 8, 0, -8, -9)      (18, 17, 9, 1, 0)    197 21,562,200
  235    (10, 8, -3, -6, -9)      (19, 17, 6, 3, 0)    197 33,561,600
  236    (11, 6, -1, -7, -9)      (20, 15, 8, 2, 0)    197 66,679,200
  237     (8, 8, 0, -4, -12)     (20, 20, 12, 8, 0)    196 22,821,750
  238    (10, 5, 1, -4, -12)     (22, 17, 13, 8, 0)    196 90,250,875
  239    (10, 5, 2, -6, -11)     (21, 16, 13, 5, 0)    196 79,194,375
  240   (10, 6, -2, -2, -12)    (22, 18, 10, 10, 0)    196 23,648,625
  241    (10, 6, 1, -7, -10)     (20, 16, 11, 3, 0)    196 73,359,000
  242   (10, 7, -3, -3, -11)      (21, 18, 8, 8, 0)    196 20,790,000
  243   (10, 7, -1, -6, -10)      (20, 17, 9, 4, 0)    196 73,359,000
  244    (11, 3, 3, -7, -10)     (21, 13, 13, 3, 0)    196 20,790,000
  245   (11, 6, -2, -5, -10)      (21, 16, 8, 5, 0)    196 79,194,375
  246    (12, 2, 2, -6, -10)     (22, 12, 12, 4, 0)    196 23,648,625
  247   (12, 4, -1, -5, -10)      (22, 14, 9, 5, 0)    196 90,250,875
  248     (12, 4, 0, -8, -8)      (20, 12, 8, 0, 0)    196 22,821,750
  249     (7, 6, 5, -6, -12)     (19, 18, 17, 6, 0)    195 9,593,024
  250     (8, 7, 2, -5, -12)     (20, 19, 14, 7, 0)    195 40,370,176
  251     (8, 8, 1, -6, -11)     (19, 19, 12, 5, 0)    195 23,122,176
  252      (9, 6, 3, -9, -9)     (18, 15, 12, 0, 0)    195 11,435,424
  253    (9, 8, -2, -4, -11)      (20, 19, 9, 7, 0)    195 31,006,976
  254     (9, 9, -3, -6, -9)      (18, 18, 6, 3, 0)    195 11,435,424
  255   (11, 4, -1, -2, -12)    (23, 16, 11, 10, 0)    195 43,819,776
  256    (11, 4, 1, -5, -11)     (22, 15, 12, 6, 0)    195 89,465,376
  257     (11, 4, 2, -8, -9)     (20, 13, 11, 1, 0)    195 31,006,976
  258   (11, 5, -1, -4, -11)     (22, 16, 10, 7, 0)    195 89,465,376
  259    (11, 6, -1, -8, -8)      (19, 14, 7, 0, 0)    195 23,122,176
  260    (12, 1, 0, -1, -12)    (24, 13, 12, 11, 0)    195 11,239,424
  261    (12, 2, 1, -4, -11)     (23, 13, 12, 7, 0)    195 43,819,776
  262    (12, 5, -2, -7, -8)      (20, 13, 6, 1, 0)    195 40,370,176
  263    (12, 6, -5, -6, -7)      (19, 13, 2, 1, 0)    195 9,593,024
  264     (8, 6, 4, -7, -11)     (19, 17, 15, 4, 0)    194 23,753,250
  265     (8, 7, 3, -8, -10)     (18, 17, 13, 2, 0)    194 18,653,250
  266     (9, 5, 3, -5, -12)     (21, 17, 15, 7, 0)    194 52,020,000
  267     (9, 5, 4, -8, -10)     (19, 15, 14, 2, 0)    194 18,837,000
  268    (9, 7, -1, -3, -12)     (21, 19, 11, 9, 0)    194 43,436,250
  269    (10, 6, 0, -5, -11)     (21, 17, 11, 6, 0)    194 93,161,250
  270    (10, 8, -4, -5, -9)      (19, 17, 5, 4, 0)    194 18,837,000
  271    (10, 8, -3, -7, -8)      (18, 16, 5, 1, 0)    194 18,653,250
  272    (11, 3, 1, -3, -12)     (23, 15, 13, 9, 0)    194 55,768,500
  273    (11, 5, 0, -6, -10)     (21, 15, 10, 4, 0)    194 93,161,250
  274    (11, 7, -4, -6, -8)      (19, 15, 4, 2, 0)    194 23,753,250
  275   (12, 3, -1, -3, -11)     (23, 14, 10, 8, 0)    194 55,768,500
  276     (12, 3, 1, -7, -9)     (21, 12, 10, 2, 0)    194 43,436,250
  277    (12, 5, -3, -5, -9)      (21, 14, 6, 4, 0)    194 52,020,000
  278    (9, 8, -3, -3, -11)      (20, 19, 8, 8, 0)    193 10,810,800
  279    (9, 8, -1, -6, -10)      (19, 18, 9, 4, 0)    193 38,253,600
  280    (10, 4, 3, -6, -11)     (21, 15, 14, 5, 0)    193 43,092,000
  281     (10, 6, 1, -8, -9)     (19, 15, 10, 1, 0)    193 38,253,600
  282     (11, 3, 3, -8, -9)     (20, 12, 12, 1, 0)    193 10,810,800
  283   (11, 6, -3, -4, -10)      (21, 16, 7, 6, 0)    193 43,092,000
  284     (6, 6, 6, -6, -12)     (18, 18, 18, 6, 0)    192 1,226,225
  285     (7, 7, 4, -7, -11)     (18, 18, 15, 4, 0)    192 8,901,200
  286     (8, 5, 5, -7, -11)     (19, 16, 16, 4, 0)    192 8,947,575
  287      (8, 7, 3, -9, -9)     (17, 16, 12, 0, 0)    192 6,354,075
  288    (8, 8, -1, -3, -12)     (20, 20, 11, 9, 0)    192 14,964,950
  289     (9, 4, 4, -5, -12)     (21, 16, 16, 7, 0)    192 18,653,250
  290      (9, 5, 4, -9, -9)     (18, 14, 13, 0, 0)    192 6,414,100
  291    (9, 7, -2, -2, -12)    (21, 19, 10, 10, 0)    192 15,140,125
  292     (9, 7, 1, -7, -10)     (19, 17, 11, 3, 0)    192 47,720,400
  293     (9, 9, -4, -5, -9)      (18, 18, 5, 4, 0)    192 6,414,100
  294     (9, 9, -3, -7, -8)      (17, 17, 5, 1, 0)    192 6,354,075
  295    (10, 4, 2, -4, -12)     (22, 16, 14, 8, 0)    192 61,725,300
  296    (10, 7, -1, -7, -9)      (19, 16, 8, 2, 0)    192 47,720,400
  297    (11, 2, 2, -3, -12)     (23, 14, 14, 9, 0)    192 20,027,700
  298    (11, 3, 2, -5, -11)     (22, 14, 13, 6, 0)    192 48,498,450
  299   (11, 5, -2, -3, -11)      (22, 16, 9, 8, 0)    192 48,498,450
  300    (11, 7, -5, -5, -8)      (19, 15, 3, 3, 0)    192 8,947,575
  301    (11, 7, -4, -7, -7)      (18, 14, 3, 0, 0)    192 8,901,200
  302     (12, 0, 0, 0, -12)    (24, 12, 12, 12, 0)    192 1,449,175
  303     (12, 2, 2, -7, -9)     (21, 11, 11, 2, 0)    192 15,140,125
  304   (12, 3, -2, -2, -11)      (23, 14, 9, 9, 0)    192 20,027,700
  305     (12, 3, 1, -8, -8)      (20, 11, 9, 0, 0)    192 14,964,950
  306   (12, 4, -2, -4, -10)      (22, 14, 8, 6, 0)    192 61,725,300
  307    (12, 5, -4, -4, -9)      (21, 14, 5, 5, 0)    192 18,653,250
  308    (12, 6, -6, -6, -6)      (18, 12, 0, 0, 0)    192 1,226,225
  309     (9, 6, 1, -4, -12)     (21, 18, 13, 8, 0)    191 68,040,000
  310     (9, 6, 2, -6, -11)     (20, 17, 13, 5, 0)    191 61,236,000
  311    (10, 5, 0, -3, -12)     (22, 17, 12, 9, 0)    191 69,888,000
  312    (10, 5, 2, -7, -10)     (20, 15, 12, 3, 0)    191 56,448,000
  313   (10, 7, -2, -5, -10)      (20, 17, 8, 5, 0)    191 56,448,000
  314    (11, 6, -2, -6, -9)      (20, 15, 7, 3, 0)    191 61,236,000
  315    (12, 3, 0, -5, -10)     (22, 13, 10, 5, 0)    191 69,888,000
  316    (12, 4, -1, -6, -9)      (21, 13, 8, 3, 0)    191 68,040,000
  317     (8, 6, 3, -5, -12)     (20, 18, 15, 7, 0)    190 37,425,024
  318     (8, 6, 4, -8, -10)     (18, 16, 14, 2, 0)    190 14,867,424
